ID,Name,Location,KMs,Engine Size,Transmission,Price,Link
1,1990 Mazda MX-5,"Palmerston North, Manawatu","194,559 km","1,600 cc",Manual,"$16,500",
2,1996 Mazda Eunos Roadster,"Dunedin, Otago","163,000 km","1,830 cc",,"$8,500",
3,1991 Mazda Eunos,"Lower Hutt City, Wellington","224,850 km","1,597 cc",,"$7,600",
4,2000 Mazda MX-5 S/Top Millennium,"Whangarei, Northland","238,065 km","1,839 cc",Manual,"$12,500",
5,2000 Mazda Roadster MX-5 1.6L,"Christchurch City, Canterbury","93,600 km","1,590 cc",Automatic,"$7,500",
6,2006 Mazda Roadster,"Christchurch City, Canterbury","30,455 km","1,990 cc",Manual,"$16,500",
7,1999 Mazda Roadster,"Porirua, Wellington","267,000 km","1,830 cc",Manual,"$7,250",
8,Closes: 6 hrs 23 mins,"Christchurch City, Canterbury","114,113 km","1,597 cc",Manual,"$16,000",
9,1998 Mazda Eunos Mx5,"Whanganui, Whanganui","12,345 km","1,600 cc",Manual,"$8,495",
10,1990 Mazda Eunos Mx5,"Nelson, Nelson Bays","171,000 km","1,600 cc",,"$19,500",
11,1994 Mazda Roadster Mx5,"Hastings, Hawke's Bay","221,900 km","1,830 cc",,"$8,500",
12,2009 Mazda Roadster MX5,"Wellington City, Wellington","121,000 km","2,000 cc",Manual,"$16,000",
13,2001 Mazda Roadster MX5,"Amberley, Canterbury","92,450 km","1,839 cc",Automatic,"$9,995",
14,Listed today,"Hastings, Hawke's Bay","190,400 km","1,590 cc",Automatic,"$6,990",
15,1990 Mazda MX-5 NA MX5 NZ New,"Auckland City, Auckland","195,000 km","1,597 cc",Manual,"$10,000",
16,1998 Mazda Roadster MX5 Miata,"Manukau, Auckland","154,000 km","1,838 cc",Manual,"$6,700",
17,1992 Mazda MX-5,"Lower Hutt City, Wellington","221,455 km","1,590 cc",Manual,"$15,000",
18,2005 Mazda Roadster MX-5 Roadster,"Wellington City, Wellington","107,445 km","1,990 cc",Automatic,"$11,450",
19,2005 Mazda Roadster MX-5 NC,"North Shore, Auckland","145,083 km","1,990 cc",Manual,"$11,000",
20,1989 Mazda MX-5 EXOCET,"Palmerston North, Manawatu",10 km,,,"$11,499",
21,1990 Mazda MX-5 Roadster,"Kaiapoi, Canterbury","183,000 km","1,590 cc",Manual,"$10,000",
22,2005 Mazda MX-5 Roadster S/Top,"Christchurch City, Canterbury","76,200 km","1,998 cc",Manual,"$17,000",
23,1990 Mazda MX-5,"Tauranga, Bay of Plenty","188,450 km","1,600 cc",Manual,"$7,800",
24,2005 Mazda Roadster MX-5,"Mangere, Auckland","135,000 km","1,990 cc",Manual,"Buy now $8,700",
25,2005 Mazda MX-5 NC Roadster,"Paeroa, Waikato","99,500 km","1,990 cc",Manual,"$12,750",
26,1991 Mazda MX-5,"Manukau, Auckland","150,000 km","1,590 cc",,"$9,000",
27,2009 Mazda MX-5 Roadster,"Christchurch City, Canterbury","126,850 km","2,000 cc",Automatic,"$15,000",
28,2006 Mazda MX-5 Roadster S/Top,"Wellington City, Wellington","166,959 km","1,998 cc",Automatic,"$8,250",
29,1998 Mazda MX-5 Roadstar,"Hamilton, Waikato","203,548 km","1,830 cc",Automatic,"$7,500",
30,1993 Mazda MX-5 Roadster,"Rotorua, Bay of Plenty","185,046 km","1,839 cc",Automatic,"$7,500",
31,1997 Mazda MX-5 SR Limited,"Tauranga, Bay of Plenty","107,000 km","1,830 cc",Automatic,"$10,900",
32,1990 Mazda MX-5 Roadster,"Whangarei, Northland","209,253 km","1,597 cc",Manual,"$6,500",
33,1998 Mazda Roadster,"North Shore, Auckland","205,000 km","1,830 cc",Manual,"$8,000",
34,Listed today,"Auckland City, Auckland","165,000 km","1,590 cc",Manual,"$8,600",
35,1990 Mazda MX-5 V spec,"Lower Hutt City, Wellington","249,000 km","1,590 cc",Manual,"Buy now $7,000",
36,1999 Mazda MX-5 Roadster,"Auckland City, Auckland","140,000 km","1,590 cc",Manual,"$7,600",
37,1998 Mazda Roadster,"Hibiscus Coast, Auckland","220,000 km","1,830 cc",Manual,"$9,400",
38,1993 Mazda Eunos Roadster,"Taupo, Waikato","188,000 km","1,830 cc",,"Buy now $10,000",
39,1990 Mazda Roadster Eunos MX-5,"North Shore, Auckland","201,000 km","1,597 cc",Manual,"$10,500",
40,1990 Mazda Eunos Roadster MX-5,"Maungaturoto, Northland","256,000 km","1,598 cc",Manual,"Buy now $7,000",
41,1991 Mazda MX-5 Turbo,"Waitakere, Auckland","195,000 km","1,597 cc",,"$11,500",
42,1992 Mazda MX-5 Supercharged,"New Plymouth, Taranaki","205,000 km","1,590 cc",Manual,"$10,995",
43,2006 Mazda Roadster,"North Shore, Auckland","102,000 km","1,990 cc",Manual,"$14,000",
44,1998 Mazda Roadster RS Special Edition,"Auckland City, Auckland","313,000 km","1,839 cc",Manual,"$6,890",
45,1998 Mazda Roadster RS Special Edition,"Auckland City, Auckland","313,000 km","1,839 cc",Manual,"$6,890",
46,1992 Mazda MX-5 Roadstar,"Waitakere, Auckland","183,377 km","1,590 cc",Automatic,"$7,750",
47,2005 Mazda Roadster,"Kaiapoi, Canterbury","113,500 km","1,990 cc",Automatic,"$12,000",
48,1989 Mazda Eunos Roadster,"Auckland City, Auckland","270,000 km","1,590 cc",Manual,"Buy now $4,500",
49,2000 Mazda Roadster,"Manukau, Auckland","69,680 km","1,590 cc",Automatic,"$11,500",
50,2006 Mazda Roadster RS Roadster,"Hibiscus Coast, Auckland","156,000 km","1,990 cc",Manual,"$11,995",
51,2010 Honda CR-Z,"Dunedin, Otago","153,000 km","1,490 cc",Manual,"$8,500",
52,2000 Mazda Roadster,"Nelson, Nelson Bays","105,000 km",,Manual,"$15,000",
53,1999 Mazda Roadster,"Tauranga, Bay of Plenty","200,078 km","1,590 cc",Automatic,"$6,250",
54,1986 Toyota MR2,"Palmerston North, Manawatu","280,000 km","1,587 cc",,"$10,000",
55,1998 Mazda Roadster,"Whangarei, Northland","135,197 km","1,839 cc",Manual,"$14,000",
56,1997 BMW Z3 Convertible,"Whangarei, Northland","68,883 km","1,890 cc",Automatic,"Buy now $7,500",
57,1999 Mazda MX-5,"Christchurch City, Canterbury","290,000 km","1,800 cc",Manual,"$17,000",
58,2010 Mazda Roadster,"Christchurch City, Canterbury","129,000 km","1,998 cc",Manual,"$11,500",
